deviceid,appversion,timestamp,power,temperature
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:50," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:09:55," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:00," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:05," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:10," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:15," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:21," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:26," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:31," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:36," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:41," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:46," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:51," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:10:56," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:02," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:07," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:12," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:17," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:22," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:27," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:32," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:37," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:42," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:47," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:53," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:11:58," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:03," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:08," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:13," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:18," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:23," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:28," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:34," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:39," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:44," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:49," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:54," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:12:59," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:04," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:09," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:14," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:19," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:25," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:30," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:35," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:40," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:45," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:50," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:13:55," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:00," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:06," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:11," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:16," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:21," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:26," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:31," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:36," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:41," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:47," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:52," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:14:57," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:02," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:07," 50
",32.0
810EBM32TZ4K,V1.0.0,2019-07-15 12:15:12," 50
",32.0
